,Year,Round,Pick,Name,Team,Position,player_id,player_game_count,Grade,count,pickgrade,_merge,value
492,2012,3,72,olivier vernon,Dolphins,DE,7074.0,113.0,75.4,1,63.9,both,11.500000000000007
518,2012,4,99,ben jones,Texans,C,7099.0,120.0,72.2,1,60.7,both,11.5
1573,2017,3,92,jourdan lewis,Cowboys,DB,11846.0,42.0,72.6,1,61.1,both,11.499999999999993
341,2011,5,136,anthony sherman,Cardinals,RB,6288.0,138.0,73.2,1,61.8,both,11.400000000000006
591,2012,6,188,danny trevathan,Broncos,LB,7177.0,93.0,70.1,1,58.8,both,11.299999999999997
20,2010,1,22,demaryius thomas,Broncos,WR,5547.0,143.0,78.8,1,67.5,both,11.299999999999997
1121,2015,3,69,tyler lockett,Seahawks,WR,9502.0,79.0,74.0,1,62.7,both,11.299999999999997
1157,2015,4,108,jalston fowler,Titans,RB,9541.0,42.0,73.0,1,61.7,both,11.299999999999997
239,2011,1,22,anthony castonzo,Colts,T,6174.0,132.0,78.8,1,67.5,both,11.299999999999997
747,2013,4,122,j.c. tretter,Packers,T,7904.0,73.0,72.0,1,60.8,both,11.200000000000003
225,2011,1,7,aldon smith,49ers,DE,6159.0,59.0,81.8,1,70.6,both,11.200000000000003
166,2010,6,182,nate byham,49ers,TE,5705.0,29.0,70.1,1,58.9,both,11.199999999999996
58,2010,2,60,golden tate,Seahawks,WR,5585.0,148.0,76.3,1,65.2,both,11.099999999999994
152,2010,5,163,reshad jones,Dolphins,DB,5686.0,120.0,72.3,1,61.2,both,11.099999999999994
1548,2017,2,63,dion dawkins,Bills,G,11818.0,47.0,75.3,1,64.3,both,11.0
555,2012,5,142,brandon marshall1,Jaguars,LB,7648.0,69.0,72.0,1,61.0,both,11.0
1730,2018,2,37,braden smith,Colts,G,46794.0,31.0,76.7,1,65.7,both,11.0
1586,2017,3,105,james conner,Steelers,RB,11860.0,36.0,72.0,1,61.0,both,11.0
1725,2018,1,32,lamar jackson,Ravens,QB,46416.0,27.0,76.7,1,65.7,both,11.0
886,2014,2,35,joel bitonio,Browns,G,8670.0,79.0,76.4,1,65.4,both,11.0
584,2012,6,179,andrew tiller,Saints,G,7169.0,21.0,70.8,1,59.8,both,11.0
459,2012,2,37,mitchell schwartz,Browns,T,7041.0,128.0,76.7,1,65.7,both,11.0
1319,2016,2,56,cody whitehair,Bears,G,10690.0,64.0,74.8,1,63.8,both,11.0
1948,2019,2,48,erik mccoy,Saints,C,37347.0,16.0,76.2,1,65.3,both,10.900000000000006
826,2013,7,218,jordan poyer,Eagles,DB,8000.0,82.0,70.1,1,59.2,both,10.899999999999991
480,2012,2,58,lavonte david,Buccaneers,LB,7060.0,121.0,75.8,1,64.9,both,10.899999999999991
1494,2017,1,8,christian mccaffrey,Panthers,RB,11763.0,48.0,81.1,1,70.2,both,10.899999999999991
1526,2017,2,41,dalvin cook,Vikings,RB,11796.0,29.0,76.4,1,65.6,both,10.800000000000011
1190,2015,5,149,jay ajayi,Dolphins,RB,9582.0,45.0,71.9,1,61.1,both,10.800000000000004
1493,2017,1,6,jamal adams,Jets,DB,11761.0,46.0,81.8,1,71.1,both,10.700000000000003
83,2010,3,87,eric decker,Broncos,WR,5611.0,107.0,72.9,1,62.2,both,10.700000000000003
66,2010,3,69,jared veldheer,Raiders,T,5594.0,119.0,73.4,1,62.7,both,10.700000000000003
616,2012,7,227,rishard matthews,Dolphins,WR,7211.0,85.0,69.8,1,59.2,both,10.599999999999994
576,2012,5,168,juron criner,Raiders,WR,7160.0,13.0,71.6,1,61.0,both,10.599999999999994
1821,2018,5,140,maurice hurst,Raiders,DT,38563.0,29.0,71.8,1,61.2,both,10.599999999999994
1717,2018,1,24,d.j. moore1,Panthers,WR,48267.0,31.0,76.8,1,66.2,both,10.599999999999994
945,2014,3,99,crockett gillmore,Ravens,TE,8734.0,31.0,71.3,1,60.7,both,10.599999999999994
95,2010,4,100,everson griffen,Vikings,DE,5624.0,145.0,71.4,1,60.9,both,10.500000000000007
1396,2016,4,134,kenneth dixon,Ravens,RB,10768.0,18.0,72.5,1,62.0,both,10.5
1346,2016,3,84,kendall fuller,Redskins,DB,10718.0,53.0,72.2,1,61.7,both,10.5
247,2011,1,31,cameron heyward,Steelers,DE,6183.0,133.0,75.8,1,65.3,both,10.5
99,2010,4,104,alterraun verner,Titans,DB,5628.0,108.0,72.1,1,61.6,both,10.499999999999993
911,2014,2,62,jimmy garoppolo,Patriots,QB,8697.0,35.0,74.9,1,64.5,both,10.400000000000006
548,2012,4,132,mike daniels,Packers,DT,7132.0,111.0,73.2,1,62.8,both,10.400000000000006
680,2013,2,48,le'veon bell,Steelers,RB,7829.0,77.0,75.7,1,65.3,both,10.400000000000006
1498,2017,1,12,deshaun watson,Texans,QB,11767.0,38.0,79.5,1,69.1,both,10.400000000000006
443,2012,1,21,chandler jones,Patriots,DE,7027.0,119.0,77.8,1,67.4,both,10.399999999999991
1239,2015,6,216,christian covington,Texans,DT,9649.0,66.0,69.5,1,59.2,both,10.299999999999997
482,2012,2,60,kelechi osemele,Ravens,T,7062.0,96.0,75.4,1,65.2,both,10.200000000000003
1547,2017,2,62,juju smith-schuster,Steelers,WR,11817.0,42.0,74.7,1,64.5,both,10.200000000000003
106,2010,4,111,walter thurmond,Seahawks,DB,5635.0,49.0,71.3,1,61.1,both,10.199999999999996
1864,2018,6,197,shaun dion hamilton,Redskins,LB,49706.0,21.0,68.7,1,58.6,both,10.100000000000001
118,2010,4,124,eric norwood,Panthers,LB,5647.0,19.0,71.2,1,61.1,both,10.100000000000001
2050,2019,6,178,gardner minshew,Jaguars,QB,41401.0,14.0,70.3,1,60.2,both,10.099999999999994
606,2012,7,210,audie cole,Vikings,LB,7195.0,24.0,69.3,1,59.2,both,10.099999999999994
1549,2017,2,64,taylor moton,Panthers,G,11819.0,44.0,74.8,1,64.7,both,10.099999999999994
695,2013,3,65,larry warford,Lions,G,7846.0,101.0,74.8,1,64.7,both,10.099999999999994
115,2010,4,121,keenan clayton,Eagles,LB,5644.0,15.0,70.7,1,60.7,both,10.0
794,2013,6,181,latavius murray,Raiders,RB,7962.0,89.0,68.6,1,58.6,both,9.999999999999993
1533,2017,2,48,joe mixon,Bengals,RB,11803.0,44.0,75.2,1,65.3,both,9.900000000000006
720,2013,3,91,duron harmon,Patriots,DB,7872.0,110.0,71.9,1,62.0,both,9.900000000000006
1599,2017,4,119,tarik cohen,Bears,RB,11874.0,48.0,70.4,1,60.5,both,9.900000000000006
1229,2015,6,204,darren waller,Ravens,WR,9637.0,35.0,68.7,1,58.8,both,9.900000000000006
1887,2018,7,230,leon jacobs,Jaguars,LB,44980.0,26.0,68.5,1,58.6,both,9.899999999999999
310,2011,4,99,k.j. wright,Seahawks,LB,6251.0,127.0,70.6,1,60.7,both,9.899999999999991
1757,2018,3,69,b.j. hill,Giants,DT,49894.0,32.0,72.5,1,62.7,both,9.799999999999997
1483,2016,7,246,tyler matakevich,Steelers,LB,10880.0,24.0,70.4,1,60.7,both,9.700000000000003
1831,2018,5,152,dane cruikshank,Titans,DB,25546.0,13.0,69.6,1,59.9,both,9.699999999999996
1386,2016,4,124,deon bush,Bears,DB,10758.0,39.0,70.8,1,61.1,both,9.699999999999996
1135,2015,3,86,david johnson1,Cardinals,RB,9519.0,62.0,71.8,1,62.1,both,9.699999999999996
813,2013,6,203,ryan jensen,Ravens,T,7985.0,61.0,68.1,1,58.4,both,9.699999999999996
1536,2017,2,51,demarcus walker,Broncos,DE,11806.0,23.0,74.6,1,64.9,both,9.699999999999989
550,2012,5,137,malik jackson,Broncos,DT,7647.0,110.0,71.4,1,61.8,both,9.600000000000009
939,2014,3,92,trai turner,Panthers,G,8727.0,84.0,70.7,1,61.1,both,9.600000000000001
197,2010,7,225,syd'quan thompson,Broncos,DB,5748.0,11.0,68.2,1,58.7,both,9.5
1245,2015,7,224,bryce hager,Rams,LB,9657.0,25.0,67.7,1,58.3,both,9.400000000000006
1243,2015,7,222,austin reiter,Redskins,C,9655.0,27.0,68.3,1,58.9,both,9.399999999999999
381,2011,6,186,d.j. smith,Packers,LB,6338.0,11.0,69.4,1,60.1,both,9.300000000000004
956,2014,4,112,daquan jones,Titans,DT,8747.0,83.0,69.9,1,60.6,both,9.300000000000004
135,2010,5,144,sherrick mcmanis,Texans,DB,5667.0,58.0,70.1,1,60.8,both,9.299999999999997
802,2013,6,189,mike james,Buccaneers,RB,7970.0,17.0,68.5,1,59.2,both,9.299999999999997
1309,2016,2,45,derrick henry,Titans,RB,10679.0,62.0,75.2,1,65.9,both,9.299999999999997
1513,2017,1,27,tre'davious white,Bills,DB,11782.0,47.0,75.3,1,66.0,both,9.299999999999997
92,2010,3,96,brandon ghee,Bengals,DB,5620.0,13.0,70.6,1,61.3,both,9.299999999999997
1340,2016,3,78,joe thuney,Patriots,G,10712.0,64.0,72.6,1,63.3,both,9.299999999999997
632,2012,7,248,kelvin beachum,Steelers,T,7229.0,104.0,69.7,1,60.5,both,9.200000000000003
1707,2018,1,14,marcus davenport,Saints,DE,50291.0,26.0,77.9,1,68.7,both,9.200000000000003
1627,2017,5,155,jayon brown,Titans,LB,11910.0,46.0,68.7,1,59.5,both,9.200000000000003
89,2010,3,93,tony moeaki,Chiefs,TE,5617.0,45.0,70.6,1,61.4,both,9.199999999999996
608,2012,7,213,richard crawford,Redskins,DB,7198.0,10.0,68.4,1,59.3,both,9.100000000000009
1973,2019,3,77,chase winovich,Patriots,LB,48523.0,16.0,72.5,1,63.4,both,9.100000000000001
353,2011,5,149,dion lewis,Eagles,RB,6301.0,79.0,70.2,1,61.1,both,9.100000000000001
1823,2018,5,143,ja'whaun bentley,Patriots,LB,50966.0,19.0,69.7,1,60.6,both,9.100000000000001
1430,2016,5,171,alex collins,Seahawks,RB,10805.0,35.0,70.5,1,61.4,both,9.100000000000001
903,2014,2,53,davante adams,Packers,WR,8688.0,86.0,73.1,1,64.0,both,9.099999999999994
1298,2016,2,34,jaylon smith,Cowboys,LB,10668.0,48.0,74.5,1,65.4,both,9.099999999999994
369,2011,6,173,byron maxwell,Seahawks,DB,6325.0,67.0,69.8,1,60.7,both,9.099999999999994
1894,2018,7,241,greg stroman,Redskins,DB,49354.0,14.0,69.5,1,60.5,both,9.0
2022,2019,4,137,foster moreau,Raiders,TE,47043.0,13.0,70.8,1,61.8,both,9.0
24,2010,1,26,dan williams,Cardinals,DT,5551.0,102.0,74.7,1,65.8,both,8.900000000000006
